seed,q_x,q_y,label,w0,w1,w2,w3,w4,w5,w6,w7,pred
1,0.286369,-0.924754,1,0.266061,0.032017,0.079922,0.305948,0.037254,0.000495,0.233561,0.044741,1
1,0.784546,-0.838746,1,0.268717,0.020155,0.033788,0.303180,0.024397,0.000467,0.209123,0.140174,1
2,0.912529,0.044844,0,0.019280,0.011860,0.711105,0.105943,0.115178,0.006140,0.028441,0.002054,0
2,0.836883,0.006552,0,0.021942,0.016270,0.696546,0.122372,0.093752,0.008610,0.037537,0.002971,0
2,1.294141,0.047372,0,0.005900,0.003064,0.727365,0.074183,0.179269,0.001269,0.008430,0.000520,0
2,0.851213,-0.435096,0,0.006162,0.027230,0.580448,0.286961,0.024112,0.011013,0.055247,0.008827,1
2,0.762123,0.232308,0,0.045557,0.013951,0.669430,0.074026,0.152764,0.008814,0.033552,0.001906,0
2,1.213472,0.255670,0,0.011438,0.002639,0.667463,0.044919,0.264388,0.001296,0.007514,0.000343,1
2,0.887940,0.219968,0,0.030455,0.009304,0.687208,0.069197,0.173814,0.005418,0.023319,0.001284,0
2,0.668100,0.847889,0,0.153538,0.004028,0.391515,0.011005,0.424514,0.003867,0.011285,0.000248,1
2,1.190880,-0.273079,0,0.003826,0.007607,0.723608,0.174712,0.067203,0.002771,0.018306,0.001967,0
2,0.661441,-0.313589,0,0.014353,0.041943,0.555373,0.247687,0.026072,0.020379,0.082485,0.011708,1
2,1.367889,-0.111268,0,0.003306,0.003168,0.749199,0.103617,0.130377,0.001144,0.008531,0.000658,0
2,0.732490,0.087415,0,0.035826,0.019989,0.674430,0.108293,0.100836,0.011798,0.045526,0.003301,0
2,1.163897,0.108120,0,0.010169,0.004358,0.718041,0.072002,0.181067,0.002019,0.011656,0.000687,0
2,1.075435,-0.055209,0,0.009337,0.008052,0.731763,0.117906,0.107939,0.003570,0.019857,0.001576,0
2,0.709238,0.121535,0,0.041423,0.020322,0.668223,0.101221,0.106816,0.012407,0.046375,0.003214,0
2,0.685359,-0.793417,0,0.002622,0.053095,0.339610,0.462302,0.004485,0.019170,0.091082,0.027635,1
2,0.918225,-0.608568,0,0.002972,0.025808,0.521608,0.364618,0.014592,0.009059,0.050891,0.010452,1
2,0.855998,0.278892,0,0.037788,0.009212,0.670368,0.060549,0.192006,0.005660,0.023238,0.001179,0
2,0.630188,0.064675,0,0.044684,0.028532,0.641226,0.120101,0.080718,0.017649,0.062214,0.004876,0
2,0.892617,-0.123756,0,0.013465,0.016548,0.693988,0.157325,0.069815,0.007847,0.037441,0.003571,0
2,0.943105,0.430205,0,0.037540,0.004778,0.614605,0.035595,0.290916,0.003049,0.013017,0.000500,1
2,0.366456,-0.131855,0,0.047297,0.074800,0.466813,0.180416,0.025999,0.048134,0.139838,0.016704,1
2,1.399887,0.340672,0,0.006914,0.001046,0.596952,0.027363,0.363856,0.000484,0.003265,0.000121,1
2,0.659514,-0.365411,0,0.012261,0.044243,0.532846,0.269262,0.021707,0.020874,0.085595,0.013212,1
2,0.960700,0.082799,0,0.018189,0.009402,0.714847,0.092847,0.135127,0.004838,0.023203,0.001546,0
2,1.177569,0.865928,1,0.026310,0.000519,0.324529,0.005312,0.641174,0.000373,0.001754,0.000031,1
2,0.660847,0.931628,1,0.168279,0.003153,0.344141,0.007985,0.464036,0.003194,0.009037,0.000174,1
2,0.737809,0.446556,1,0.073637,0.009555,0.604124,0.041134,0.239308,0.006948,0.024305,0.000989,0
2,1.120743,0.410750,1,0.020132,0.002575,0.606849,0.030941,0.330334,0.001463,0.007431,0.000274,1
2,0.873903,1.073955,1,0.089799,0.000865,0.258314,0.003471,0.643880,0.000840,0.002792,0.000039,1
2,0.784852,0.906266,1,0.110807,0.002185,0.356777,0.007789,0.513794,0.002027,0.006497,0.000124,1
2,0.593789,0.774824,1,0.178092,0.006482,0.426090,0.015318,0.350056,0.006226,0.017295,0.000441,1
2,0.445251,0.548646,1,0.195437,0.018937,0.497353,0.035371,0.189047,0.017375,0.044741,0.001739,0
